EMBL_transcript_id,cDNA_length,cds_length,exons_nr,5_MAR_presence,3_MAR_presence,5_polyA_18_presence,5_CCGNN_2_5_presence,perc_go_hk_match,perc_go_ts_match,is_hk
ENST00000274311,2918,1158,3,no,no,no,yes,0.1,0.2,NaN
ENST00000282588,4795,3540,29,no,no,no,yes,0.1,0.2,NaN
ENST00000274311,2918,1158,3,no,no,no,yes,0.1,0.2,NaN
ENST00000282588,4795,3540,29,no,no,no,yes,0.1,0.2,NaN
ENST00000337416,4551,1656,18,no,yes,no,no,0,0.1111111,NaN
ENST00000282606,1245,597,NaN,no,no,no,no,0,0,NaN
ENST00000282611,1338,1197,NaN,no,no,no,no,0,0.6666667,NaN
ENST00000282633,2709,2709,NaN,no,no,no,no,NaN,NaN,NaN
ENST00000351071,3972,3411,NaN,no,no,no,no,NaN,NaN,NaN
ENST00000355876,4226,3669,NaN,no,no,no,no,NaN,NaN,NaN
ENST00000358474,3873,3672,NaN,no,no,no,no,NaN,NaN,NaN
ENST00000282635,1579,222,NaN,no,no,no,no,NaN,NaN,NaN
ENST00000282658,3865,1323,NaN,no,no,no,no,0,0,NaN
ENST00000282670,2002,540,NaN,no,no,no,no,NaN,NaN,NaN
ENST00000282672,3842,2547,NaN,no,no,no,yes,NaN,NaN,NaN
ENST00000282676,1102,576,NaN,no,no,no,no,NaN,NaN,NaN
ENST00000319562,4919,3138,NaN,no,no,no,yes,0.1666667,0,NaN
ENST00000282692,3914,1449,NaN,no,no,no,no,0,0,NaN
ENST00000341233,3900,1461,NaN,yes,no,no,no,0,0.3333333,NaN
ENST00000307534,3484,1797,NaN,no,no,no,no,0,0,NaN
ENST00000322191,2525,945,NaN,no,no,no,no,0,0,NaN
ENST00000342512,2706,1122,NaN,no,no,no,no,0,0,NaN
ENST00000282699,2536,903,10,no,no,no,yes,0,0,NaN
ENST00000339711,2510,897,11,no,no,no,yes,0,0,NaN
ENST00000282701,1774,1419,3,no,no,no,yes,0,0.7142857,NaN
ENST00000295470,3509,1263,10,no,no,no,yes,0.2857143,0,NaN
ENST00000307186,1545,735,7,no,no,no,yes,0.2857143,0,NaN
ENST00000349655,3404,1263,9,no,no,no,yes,0.2857143,0,NaN
ENST00000282728,1725,813,NaN,no,no,no,yes,0,0.4,NaN
ENST00000282749,10299,10299,NaN,no,no,yes,no,0,0.2222222,NaN
ENST00000282753,6622,3585,NaN,yes,no,no,no,0,0.2857143,NaN
ENST00000355289,3294,2721,NaN,yes,no,no,no,0,0.2857143,NaN
ENST00000282833,5983,4323,NaN,no,no,no,no,0,0.4285714,NaN
ENST00000282841,2514,903,NaN,no,no,no,no,0,0,NaN
ENST00000358966,1395,903,NaN,no,no,no,no,0,0,NaN
ENST00000307431,4691,3840,NaN,no,yes,no,no,0,0,NaN
ENST00000339740,2294,2166,NaN,no,yes,no,no,0,0,NaN
ENST00000282869,2874,1452,4,no,no,no,no,0,0,NaN
ENST00000282876,2096,339,2,no,no,no,no,0,0,NaN
ENST00000362001,2096,180,2,no,no,no,no,0,0,NaN
ENST00000282878,1008,684,5,no,no,no,no,0,0,NaN
ENST00000282881,1718,1167,9,no,yes,no,yes,NaN,NaN,NaN
ENST00000282886,1444,1374,6,no,no,no,yes,0,0,NaN
ENST00000003603,2069,738,NaN,no,no,no,no,0.25,0.25,NaN
ENST00000003616,1303,954,NaN,no,no,no,no,0,0,NaN
ENST00000001585,1067,783,NaN,no,no,no,yes,0,0.25,NaN
ENST00000004672,2849,2067,NaN,no,no,no,no,0,0,NaN
ENST00000328079,2794,2229,NaN,no,no,no,no,0,0,NaN
ENST00000286031,3378,2577,NaN,no,no,no,no,0,0.5,NaN
ENST00000359326,2981,2577,NaN,no,no,no,no,0,0.5,NaN
ENST00000362043,2966,2562,NaN,no,no,no,no,0,0.5,NaN
ENST00000001380,2391,1590,NaN,no,yes,yes,no,0,0.1666667,NaN
ENST00000001567,3926,3696,NaN,no,no,no,yes,0,0.6666667,NaN
ENST00000359637,1290,1290,NaN,no,no,no,yes,0,0.6666667,NaN
ENST00000002165,2365,1404,NaN,no,no,no,no,0,0.3333333,NaN
ENST00000341946,1156,498,NaN,no,no,no,no,0,0.3333333,NaN
ENST00000229416,3717,1914,NaN,no,no,no,no,0,0.1428571,NaN
ENST00000322540,2771,1044,NaN,no,yes,no,yes,0,0.1666667,NaN
ENST00000341376,2974,957,NaN,no,yes,no,yes,0,0.1666667,NaN
ENST00000353205,2684,957,NaN,no,yes,no,yes,0,0.1666667,NaN
ENST00000003583,2527,864,NaN,no,no,no,yes,NaN,NaN,NaN
ENST00000337248,2663,864,NaN,no,no,no,yes,NaN,NaN,NaN
ENST00000003912,5286,1227,NaN,no,no,yes,yes,NaN,NaN,NaN
ENST00000339255,2708,402,NaN,no,no,yes,yes,NaN,NaN,NaN
ENST00000358028,1756,681,NaN,no,no,yes,yes,NaN,NaN,NaN
ENST00000312391,2287,927,NaN,no,no,no,no,NaN,NaN,NaN
ENST00000312410,2436,2205,NaN,no,no,no,no,NaN,NaN,NaN
ENST00000321037,4311,1362,NaN,no,no,no,no,0,0.5,NaN
ENST00000002829,3515,2358,NaN,no,no,no,yes,0,1,NaN
ENST00000003084,6128,4443,NaN,no,no,no,no,0,0.2307692,NaN
ENST00000265742,4030,3645,NaN,no,no,no,no,0,0,NaN
ENST00000003100,3036,1530,NaN,no,no,no,no,0,0.4285714,NaN
ENST00000312763,4762,2211,NaN,no,yes,no,yes,0,0,NaN
ENST00000340022,4997,2211,NaN,no,yes,no,yes,0,0,NaN
ENST00000228345,2850,681,13,no,yes,no,yes,0,0,NaN
ENST00000304911,2679,1257,12,no,yes,no,yes,0,0,NaN
ENST00000358495,2366,1257,12,no,yes,no,yes,0,0,NaN
ENST00000359656,2426,681,14,no,yes,no,yes,0,0,NaN
ENST00000330888,2280,2238,NaN,no,no,no,no,0,0.3333333,NaN
ENST00000265480,1127,507,NaN,no,no,no,yes,0,0.4,NaN
ENST00000309032,956,507,NaN,no,no,no,yes,0,0.4,NaN
ENST00000226299,2100,1560,13,no,no,no,no,0,0.1818182,NaN
ENST00000002594,1228,558,10,no,no,no,no,0,0,NaN
ENST00000002596,2429,924,2,no,no,yes,no,0,0,NaN
ENST00000339301,582,582,NaN,no,no,no,no,0,0.25,NaN
ENST00000360937,2407,2256,NaN,no,no,no,no,0,0.25,NaN
ENST00000222462,3113,1098,NaN,no,yes,no,no,0,0.6666667,NaN
ENST00000361224,2875,1083,NaN,no,yes,no,no,0,0.6666667,NaN
ENST00000361301,2875,1068,NaN,no,yes,no,no,0,0.6666667,NaN
ENST00000265522,6191,4758,27,no,no,no,no,0.25,0,NaN
ENST00000265854,2437,2412,18,no,no,no,no,0,0.1818182,NaN
ENST00000318008,3845,786,NaN,no,no,no,no,0.3333333,0,yes
ENST00000354435,960,960,NaN,no,no,no,no,0.3333333,0,yes
ENST00000358914,3492,786,NaN,no,no,no,no,0.3333333,0,yes
ENST00000337353,2402,813,NaN,no,no,no,no,0,0.5,NaN
ENST00000359238,2300,813,NaN,no,no,no,no,0,0.5,NaN
ENST00000004103,1051,708,NaN,no,no,no,yes,NaN,NaN,NaN
ENST00000000412,2454,834,7,no,no,no,no,0,0.625,NaN
ENST00000262820,3972,1968,NaN,no,no,no,no,0,0,NaN
ENST00000001146,4528,1539,6,no,no,no,yes,0,0.3333333,NaN
ENST00000265577,1777,1449,14,no,no,no,no,0,0.1111111,NaN
ENST00000305238,2133,1452,14,no,no,no,no,0,0.1111111,NaN
ENST00000317367,1221,1026,9,no,no,no,no,0,0.1111111,NaN
ENST00000339809,1413,774,9,no,no,no,no,0,0.1111111,NaN
ENST00000002501,1977,477,NaN,no,no,no,yes,0,0,NaN
ENST00000304733,2073,471,NaN,no,no,no,yes,0,0,NaN
ENST00000264276,6467,4971,NaN,no,no,no,no,0,0.1428571,NaN
ENST00000272879,2054,1566,NaN,no,no,no,no,0,0.3333333,NaN
ENST00000286186,3765,1569,NaN,no,no,no,no,0,0.3333333,NaN
ENST00000313728,3901,822,NaN,no,no,no,no,0,0.3333333,NaN
ENST00000346817,3636,1440,NaN,no,no,no,no,0,0.3333333,NaN
ENST00000360132,3993,1569,NaN,no,no,no,no,0,0.3333333,NaN
ENST00000309955,2200,1443,NaN,no,yes,no,no,0.1111111,0.2222222,NaN
ENST00000340870,1799,1389,NaN,no,yes,no,no,0.1111111,0.2222222,NaN
ENST00000341222,1283,666,NaN,no,yes,no,no,0.1111111,0.2222222,NaN
